000.000 =============================================================
000.000                     Station B                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "fB.log", TCP port 30014, debug mask 0x00
000.000 Station B is connecting station A (TCP port 30014) ... Done.
000.653 New epoch: Wed May  8 15:28:05 2019
000.653 =================================================================
000.653 
000.653 Designed by CJSoft, build: May  8 2019  15:00:58
003.052 .... 8 packets received, 7739 bps, 96.74%, Err 0 (0.0e+00)
005.196 .... 16 packets received, 7690 bps, 96.13%, Err 1 (2.8e-05)
007.329 .... 23 packets received, 7367 bps, 92.09%, Err 1 (1.9e-05)
009.452 .... 31 packets received, 7455 bps, 93.19%, Err 1 (1.4e-05)
011.580 .... 39 packets received, 7503 bps, 93.79%, Err 1 (1.1e-05)
013.697 .... 47 packets received, 7542 bps, 94.28%, Err 1 (9.6e-06)
015.833 .... 55 packets received, 7561 bps, 94.51%, Err 1 (8.2e-06)
017.945 .... 63 packets received, 7585 bps, 94.81%, Err 1 (7.2e-06)
020.058 .... 71 packets received, 7604 bps, 95.05%, Err 1 (6.4e-06)
022.208 .... 79 packets received, 7606 bps, 95.07%, Err 1 (5.8e-06)
024.305 .... 83 packets received, 7274 bps, 90.92%, Err 2 (1.1e-05)
026.429 .... 94 packets received, 7551 bps, 94.39%, Err 2 (9.7e-06)
028.563 .... 102 packets received, 7561 bps, 94.51%, Err 2 (9.0e-06)
030.667 .... 110 packets received, 7577 bps, 94.71%, Err 2 (8.3e-06)
034.136 .... 117 packets received, 7217 bps, 90.21%, Err 4 (1.5e-05)
036.266 .... 129 packets received, 7478 bps, 93.47%, Err 4 (1.4e-05)
038.392 .... 137 packets received, 7491 bps, 93.63%, Err 4 (1.3e-05)
040.496 .... 145 packets received, 7506 bps, 93.83%, Err 4 (1.3e-05)
042.621 .... 153 packets received, 7517 bps, 93.96%, Err 4 (1.2e-05)
044.752 .... 161 packets received, 7525 bps, 94.06%, Err 4 (1.1e-05)
046.866 .... 169 packets received, 7535 bps, 94.19%, Err 4 (1.1e-05)
048.987 .... 177 packets received, 7544 bps, 94.30%, Err 4 (1.0e-05)
051.120 .... 185 packets received, 7550 bps, 94.37%, Err 4 (9.9e-06)
053.239 .... 193 packets received, 7557 bps, 94.46%, Err 4 (9.5e-06)
055.335 .... 201 packets received, 7567 bps, 94.59%, Err 4 (9.1e-06)
057.465 .... 209 packets received, 7572 bps, 94.65%, Err 4 (8.8e-06)
059.597 .... 217 packets received, 7576 bps, 94.70%, Err 4 (8.5e-06)
061.979 .... 222 packets received, 7448 bps, 93.10%, Err 6 (1.2e-05)
064.080 .... 232 packets received, 7525 bps, 94.06%, Err 6 (1.2e-05)
066.221 .... 240 packets received, 7529 bps, 94.11%, Err 6 (1.1e-05)
068.340 .... 248 packets received, 7535 bps, 94.19%, Err 6 (1.1e-05)
071.007 .... 254 packets received, 7424 bps, 92.80%, Err 7 (1.2e-05)
