000.000 =============================================================
000.000                     Station B                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "B.log", TCP port 30021, debug mask 0x00
000.000 Station B is connecting station A (TCP port 30021) ... Done.
000.348 New epoch: Thu May 16 16:47:39 2019
000.348 =================================================================
000.348 
000.348 Designed by CJSoft, build: May 16 2019  15:57:30
002.767 .... 8 packets received, 7645 bps, 95.57%, Err 0 (0.0e+00)
005.951 .... 16 packets received, 6151 bps, 76.89%, Err 1 (2.2e-05)
008.068 .... 27 packets received, 7428 bps, 92.85%, Err 1 (1.6e-05)
010.197 .... 35 packets received, 7489 bps, 93.61%, Err 1 (1.3e-05)
012.298 .... 43 packets received, 7544 bps, 94.30%, Err 1 (1.0e-05)
014.438 .... 51 packets received, 7561 bps, 94.51%, Err 1 (8.9e-06)
016.542 .... 59 packets received, 7591 bps, 94.89%, Err 1 (7.7e-06)
018.663 .... 67 packets received, 7607 bps, 95.08%, Err 1 (6.8e-06)
020.790 .... 75 packets received, 7617 bps, 95.21%, Err 1 (6.1e-06)
023.964 .... 83 packets received, 7283 bps, 91.04%, Err 2 (1.1e-05)
026.094 .... 94 packets received, 7558 bps, 94.48%, Err 2 (9.7e-06)
028.194 .... 102 packets received, 7577 bps, 94.71%, Err 2 (9.0e-06)
030.321 .... 110 packets received, 7586 bps, 94.82%, Err 2 (8.4e-06)
032.439 .... 114 packets received, 7338 bps, 91.73%, Err 4 (1.6e-05)
034.574 .... 124 packets received, 7480 bps, 93.50%, Err 4 (1.5e-05)
036.704 .... 132 packets received, 7493 bps, 93.66%, Err 4 (1.4e-05)
038.807 .... 140 packets received, 7509 bps, 93.86%, Err 4 (1.3e-05)
040.911 .... 148 packets received, 7524 bps, 94.05%, Err 4 (1.2e-05)
043.045 .... 156 packets received, 7531 bps, 94.14%, Err 4 (1.2e-05)
045.179 .... 164 packets received, 7538 bps, 94.23%, Err 4 (1.1e-05)
047.296 .... 172 packets received, 7547 bps, 94.34%, Err 4 (1.1e-05)
049.415 .... 180 packets received, 7555 bps, 94.44%, Err 4 (1.0e-05)
051.537 .... 188 packets received, 7562 bps, 94.53%, Err 4 (9.8e-06)
053.656 .... 196 packets received, 7569 bps, 94.61%, Err 4 (9.4e-06)
055.775 .... 204 packets received, 7575 bps, 94.69%, Err 4 (9.0e-06)
057.902 .... 212 packets received, 7580 bps, 94.75%, Err 4 (8.7e-06)
060.011 .... 216 packets received, 7449 bps, 93.11%, Err 5 (1.0e-05)
062.124 .... 227 packets received, 7559 bps, 94.49%, Err 5 (1.0e-05)
064.254 .... 235 packets received, 7564 bps, 94.55%, Err 5 (9.8e-06)
066.380 .... 243 packets received, 7568 bps, 94.60%, Err 5 (9.5e-06)
068.504 .... 250 packets received, 7543 bps, 94.28%, Err 6 (1.1e-05)
070.631 .... 258 packets received, 7548 bps, 94.34%, Err 6 (1.1e-05)
072.746 .... 266 packets received, 7553 bps, 94.42%, Err 6 (1.0e-05)
074.863 .... 274 packets received, 7559 bps, 94.48%, Err 6 (1.0e-05)
076.980 .... 282 packets received, 7564 bps, 94.55%, Err 6 (9.8e-06)
079.112 .... 290 packets received, 7567 bps, 94.59%, Err 6 (9.5e-06)
081.229 .... 298 packets received, 7572 bps, 94.64%, Err 6 (9.3e-06)
083.356 .... 306 packets received, 7575 bps, 94.69%, Err 6 (9.0e-06)
085.454 .... 314 packets received, 7581 bps, 94.76%, Err 6 (8.8e-06)
087.613 .... 321 packets received, 7557 bps, 94.47%, Err 7 (1.0e-05)
089.710 .... 329 packets received, 7563 bps, 94.54%, Err 7 (9.8e-06)
091.822 .... 337 packets received, 7568 bps, 94.60%, Err 7 (9.6e-06)
093.953 .... 345 packets received, 7571 bps, 94.63%, Err 7 (9.4e-06)
