000.000 =============================================================
000.000                     Station A                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "A.log", TCP port 30011, debug mask 0x00
000.000 Station A is waiting for station B on TCP port 30011 ... Done.
000.306 New epoch: Mon May  6 20:18:32 2019
000.306 =================================================================
000.306 
000.306 Designed by CJSoft, build: May  6 2019  20:16:40
001.631 ** WARNING: System too busy, sleep 15 ms, but be awakened 74 ms later
003.804 ** WARNING: System too busy, sleep 15 ms, but be awakened 86 ms later
004.294 .... 1 packets received, 685 bps, 8.56%, Err 1 (4.8e-05)
006.490 .... 10 packets received, 3950 bps, 49.37%, Err 1 (2.6e-05)
008.721 .... 16 packets received, 4419 bps, 55.23%, Err 1 (2.0e-05)
010.832 .... 24 packets received, 5159 bps, 64.49%, Err 1 (1.5e-05)
012.949 .... 32 packets received, 5628 bps, 70.35%, Err 1 (1.2e-05)
015.080 .... 40 packets received, 5947 bps, 74.34%, Err 1 (9.8e-06)
017.211 .... 48 packets received, 6180 bps, 77.25%, Err 1 (8.4e-06)
019.325 .... 56 packets received, 6364 bps, 79.56%, Err 1 (7.4e-06)
021.441 .... 64 packets received, 6509 bps, 81.37%, Err 1 (6.5e-06)
023.556 .... 72 packets received, 6627 bps, 82.84%, Err 1 (5.9e-06)
025.664 .... 80 packets received, 6726 bps, 84.08%, Err 1 (5.4e-06)
027.797 .... 88 packets received, 6803 bps, 85.04%, Err 1 (4.9e-06)
031.407 .... 92 packets received, 6259 bps, 78.24%, Err 1 (4.4e-06)
033.527 .... 100 packets received, 6356 bps, 79.45%, Err 1 (4.1e-06)
035.639 .... 108 packets received, 6442 bps, 80.53%, Err 1 (3.8e-06)
037.758 .... 116 packets received, 6517 bps, 81.46%, Err 1 (3.6e-06)
041.906 .... 122 packets received, 6154 bps, 76.92%, Err 2 (6.5e-06)
044.051 .... 130 packets received, 6228 bps, 77.86%, Err 2 (6.2e-06)
046.161 .... 138 packets received, 6301 bps, 78.76%, Err 2 (5.9e-06)
048.280 .... 146 packets received, 6365 bps, 79.57%, Err 2 (5.6e-06)
050.391 .... 154 packets received, 6425 bps, 80.32%, Err 2 (5.4e-06)
054.277 .... 159 packets received, 6147 bps, 76.84%, Err 3 (7.5e-06)
056.409 .... 167 packets received, 6207 bps, 77.58%, Err 3 (7.2e-06)
058.500 .... 172 packets received, 6159 bps, 76.99%, Err 3 (7.0e-06)
060.604 .... 180 packets received, 6217 bps, 77.71%, Err 3 (6.8e-06)
062.745 .... 188 packets received, 6267 bps, 78.33%, Err 4 (8.7e-06)
064.852 .... 196 packets received, 6317 bps, 78.96%, Err 4 (8.4e-06)
066.971 .... 204 packets received, 6362 bps, 79.53%, Err 4 (8.1e-06)
071.113 .... 210 packets received, 6161 bps, 77.01%, Err 4 (7.7e-06)
073.236 .... 218 packets received, 6207 bps, 77.59%, Err 4 (7.4e-06)
075.366 .... 226 packets received, 6250 bps, 78.12%, Err 4 (7.2e-06)
079.760 .... 233 packets received, 6082 bps, 76.03%, Err 5 (8.5e-06)
083.091 .... 236 packets received, 5910 bps, 73.87%, Err 6 (9.9e-06)
085.240 .... 244 packets received, 5954 bps, 74.42%, Err 6 (9.6e-06)
087.348 .... 250 packets received, 5951 bps, 74.38%, Err 6 (9.4e-06)
089.482 .... 258 packets received, 5992 bps, 74.90%, Err 6 (9.2e-06)
091.608 .... 266 packets received, 6033 bps, 75.41%, Err 6 (8.9e-06)
093.721 .... 274 packets received, 6072 bps, 75.90%, Err 6 (8.7e-06)
095.848 .... 282 packets received, 6109 bps, 76.36%, Err 6 (8.5e-06)
100.007 .... 288 packets received, 5976 bps, 74.70%, Err 8 (1.1e-05)
104.654 .... 291 packets received, 5767 bps, 72.08%, Err 8 (1.1e-05)
108.749 .... 292 packets received, 5566 bps, 69.57%, Err 8 (1.1e-05)
112.969 .... 293 packets received, 5374 bps, 67.17%, Err 8 (1.1e-05)
117.135 .... 294 packets received, 5198 bps, 64.98%, Err 8 (1.1e-05)
121.272 .... 295 packets received, 5036 bps, 62.95%, Err 8 (1.1e-05)
125.319 .... 296 packets received, 4888 bps, 61.10%, Err 8 (1.1e-05)
129.364 .... 297 packets received, 4750 bps, 59.37%, Err 8 (1.1e-05)
133.540 .... 298 packets received, 4615 bps, 57.69%, Err 8 (1.1e-05)
137.608 .... 299 packets received, 4493 bps, 56.16%, Err 8 (1.1e-05)
141.740 .... 300 packets received, 4375 bps, 54.69%, Err 8 (1.1e-05)
145.817 .... 301 packets received, 4266 bps, 53.32%, Err 8 (1.0e-05)
149.873 .... 302 packets received, 4163 bps, 52.04%, Err 8 (1.0e-05)
153.974 .... 303 packets received, 4065 bps, 50.81%, Err 8 (1.0e-05)
158.090 .... 304 packets received, 3971 bps, 49.64%, Err 8 (1.0e-05)
162.282 .... 305 packets received, 3880 bps, 48.50%, Err 8 (1.0e-05)
166.390 .... 306 packets received, 3796 bps, 47.45%, Err 8 (1.0e-05)
170.441 .... 307 packets received, 3717 bps, 46.47%, Err 8 (1.0e-05)
174.648 .... 308 packets received, 3639 bps, 45.49%, Err 8 (1.0e-05)
178.811 .... 309 packets received, 3565 bps, 44.56%, Err 8 (1.0e-05)
182.891 .... 310 packets received, 3496 bps, 43.70%, Err 8 (1.0e-05)
187.041 .... 311 packets received, 3429 bps, 42.87%, Err 8 (1.0e-05)
191.179 .... 312 packets received, 3365 bps, 42.07%, Err 8 (1.0e-05)
195.322 .... 313 packets received, 3304 bps, 41.30%, Err 8 (1.0e-05)
199.408 .... 314 packets received, 3246 bps, 40.58%, Err 8 (1.0e-05)
201.586 .... 319 packets received, 3262 bps, 40.77%, Err 8 (9.9e-06)
204.019 .... 321 packets received, 3243 bps, 40.54%, Err 8 (9.7e-06)
206.147 .... 329 packets received, 3289 bps, 41.12%, Err 8 (9.5e-06)
210.515 .... 336 packets received, 3289 bps, 41.11%, Err 9 (1.0e-05)
212.672 .... 344 packets received, 3333 bps, 41.66%, Err 9 (1.0e-05)
214.766 .... 350 packets received, 3358 bps, 41.97%, Err 9 (1.0e-05)
216.900 .... 358 packets received, 3401 bps, 42.51%, Err 9 (9.8e-06)
219.005 .... 366 packets received, 3443 bps, 43.04%, Err 9 (9.6e-06)
222.107 .... 368 packets received, 3413 bps, 42.67%, Err 9 (9.4e-06)
224.226 .... 376 packets received, 3454 bps, 43.18%, Err 9 (9.2e-06)
226.334 .... 384 packets received, 3495 bps, 43.69%, Err 9 (9.1e-06)
228.464 .... 392 packets received, 3534 bps, 44.18%, Err 9 (8.9e-06)
230.590 .... 400 packets received, 3573 bps, 44.66%, Err 9 (8.8e-06)
