000.000 =============================================================
000.000                     Station B                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "B.log", TCP port 30011, debug mask 0x00
000.000 Station B is connecting station A (TCP port 30011) ... Done.
000.306 New epoch: Mon May  6 20:18:32 2019
000.306 =================================================================
000.306 
000.306 Designed by CJSoft, build: May  6 2019  20:16:40
001.633 ** WARNING: System too busy, sleep 15 ms, but be awakened 71 ms later
002.751 .... 8 packets received, 7509 bps, 93.86%, Err 0 (0.0e+00)
003.812 ** WARNING: System too busy, sleep 15 ms, but be awakened 93 ms later
004.848 .... 16 packets received, 7658 bps, 95.72%, Err 0 (0.0e+00)
007.933 .... 18 packets received, 5006 bps, 62.57%, Err 1 (1.8e-05)
010.037 .... 26 packets received, 5624 bps, 70.30%, Err 1 (1.4e-05)
012.164 .... 34 packets received, 6005 bps, 75.07%, Err 1 (1.1e-05)
014.283 .... 42 packets received, 6272 bps, 78.40%, Err 1 (9.4e-06)
016.411 .... 50 packets received, 6464 bps, 80.80%, Err 1 (8.1e-06)
018.536 .... 58 packets received, 6612 bps, 82.64%, Err 1 (7.1e-06)
020.635 .... 66 packets received, 6736 bps, 84.20%, Err 1 (6.4e-06)
022.769 .... 74 packets received, 6827 bps, 85.33%, Err 1 (5.7e-06)
027.469 .... 82 packets received, 6243 bps, 78.04%, Err 2 (9.7e-06)
029.584 .... 90 packets received, 6353 bps, 79.41%, Err 2 (9.0e-06)
031.678 .... 95 packets received, 6254 bps, 78.18%, Err 2 (8.6e-06)
033.782 .... 103 packets received, 6351 bps, 79.39%, Err 2 (8.0e-06)
037.915 .... 109 packets received, 5977 bps, 74.72%, Err 4 (1.4e-05)
040.054 .... 117 packets received, 6069 bps, 75.86%, Err 4 (1.4e-05)
042.170 .... 123 packets received, 6055 bps, 75.69%, Err 4 (1.3e-05)
044.305 .... 131 packets received, 6134 bps, 76.68%, Err 4 (1.2e-05)
046.397 .... 139 packets received, 6212 bps, 77.65%, Err 4 (1.2e-05)
048.516 .... 147 packets received, 6279 bps, 78.49%, Err 4 (1.1e-05)
050.640 .... 155 packets received, 6340 bps, 79.25%, Err 4 (1.1e-05)
052.769 .... 163 packets received, 6395 bps, 79.94%, Err 4 (1.0e-05)
054.887 .... 171 packets received, 6447 bps, 80.59%, Err 4 (9.8e-06)
058.246 .... 174 packets received, 6178 bps, 77.23%, Err 4 (9.3e-06)
060.364 .... 182 packets received, 6234 bps, 77.92%, Err 4 (8.9e-06)
062.492 .... 190 packets received, 6284 bps, 78.55%, Err 4 (8.6e-06)
067.119 .... 198 packets received, 6093 bps, 76.17%, Err 5 (1.0e-05)
069.271 .... 206 packets received, 6141 bps, 76.76%, Err 5 (9.7e-06)
071.374 .... 212 packets received, 6132 bps, 76.65%, Err 5 (9.5e-06)
076.032 .... 220 packets received, 5971 bps, 74.63%, Err 6 (1.1e-05)
078.185 .... 228 packets received, 6016 bps, 75.20%, Err 6 (1.0e-05)
080.296 .... 234 packets received, 6011 bps, 75.14%, Err 6 (1.0e-05)
082.429 .... 242 packets received, 6054 bps, 75.68%, Err 6 (9.9e-06)
087.107 .... 250 packets received, 5916 bps, 73.96%, Err 6 (9.4e-06)
089.223 .... 258 packets received, 5960 bps, 74.50%, Err 6 (9.2e-06)
091.326 .... 266 packets received, 6002 bps, 75.03%, Err 6 (8.9e-06)
096.002 .... 274 packets received, 5880 bps, 73.50%, Err 7 (9.9e-06)
098.157 .... 282 packets received, 5918 bps, 73.98%, Err 7 (9.7e-06)
100.259 .... 287 packets received, 5896 bps, 73.70%, Err 7 (9.6e-06)
102.390 .... 295 packets received, 5934 bps, 74.17%, Err 7 (9.4e-06)
104.512 .... 303 packets received, 5970 bps, 74.63%, Err 7 (9.1e-06)
106.640 .... 311 packets received, 6005 bps, 75.06%, Err 7 (8.9e-06)
108.748 .... 319 packets received, 6039 bps, 75.49%, Err 7 (8.8e-06)
110.883 .... 327 packets received, 6071 bps, 75.89%, Err 7 (8.6e-06)
112.999 .... 335 packets received, 6102 bps, 76.28%, Err 7 (8.4e-06)
115.123 .... 343 packets received, 6132 bps, 76.65%, Err 7 (8.2e-06)
118.424 .... 346 packets received, 6013 bps, 75.16%, Err 8 (9.2e-06)
121.987 .... 348 packets received, 5870 bps, 73.37%, Err 9 (1.0e-05)
124.111 .... 356 packets received, 5902 bps, 73.77%, Err 9 (9.9e-06)
127.184 .... 358 packets received, 5791 bps, 72.38%, Err 10 (1.1e-05)
129.308 .... 366 packets received, 5822 bps, 72.78%, Err 10 (1.1e-05)
131.424 .... 374 packets received, 5853 bps, 73.17%, Err 10 (1.0e-05)
135.814 .... 381 packets received, 5769 bps, 72.12%, Err 11 (1.1e-05)
137.932 .... 389 packets received, 5800 bps, 72.50%, Err 11 (1.1e-05)
140.041 .... 397 packets received, 5830 bps, 72.87%, Err 11 (1.1e-05)
142.162 .... 405 packets received, 5858 bps, 73.22%, Err 12 (1.2e-05)
144.974 .... 406 packets received, 5758 bps, 71.98%, Err 12 (1.1e-05)
147.102 .... 414 packets received, 5786 bps, 72.33%, Err 12 (1.1e-05)
150.702 .... 418 packets received, 5702 bps, 71.28%, Err 13 (1.2e-05)
152.831 .... 426 packets received, 5730 bps, 71.62%, Err 13 (1.2e-05)
154.957 .... 434 packets received, 5757 bps, 71.96%, Err 13 (1.1e-05)
157.062 .... 442 packets received, 5784 bps, 72.30%, Err 13 (1.1e-05)
159.182 .... 450 packets received, 5810 bps, 72.63%, Err 13 (1.1e-05)
161.307 .... 458 packets received, 5835 bps, 72.94%, Err 13 (1.1e-05)
163.422 .... 466 packets received, 5860 bps, 73.25%, Err 13 (1.1e-05)
165.548 .... 474 packets received, 5884 bps, 73.55%, Err 13 (1.1e-05)
168.610 .... 476 packets received, 5801 bps, 72.52%, Err 14 (1.1e-05)
170.736 .... 484 packets received, 5825 bps, 72.81%, Err 14 (1.1e-05)
172.867 .... 492 packets received, 5848 bps, 73.10%, Err 14 (1.1e-05)
174.977 .... 500 packets received, 5871 bps, 73.39%, Err 14 (1.1e-05)
177.099 .... 508 packets received, 5894 bps, 73.67%, Err 14 (1.1e-05)
181.738 .... 516 packets received, 5833 bps, 72.91%, Err 15 (1.1e-05)
183.868 .... 524 packets received, 5855 bps, 73.18%, Err 15 (1.1e-05)
185.991 .... 532 packets received, 5876 bps, 73.45%, Err 15 (1.1e-05)
188.103 .... 540 packets received, 5897 bps, 73.71%, Err 15 (1.1e-05)
190.220 .... 548 packets received, 5918 bps, 73.97%, Err 15 (1.1e-05)
192.349 .... 556 packets received, 5937 bps, 74.22%, Err 15 (1.1e-05)
194.466 .... 564 packets received, 5957 bps, 74.46%, Err 15 (1.0e-05)
196.580 .... 572 packets received, 5976 bps, 74.71%, Err 15 (1.0e-05)
199.926 .... 575 packets received, 5907 bps, 73.84%, Err 16 (1.1e-05)
202.070 .... 583 packets received, 5925 bps, 74.07%, Err 16 (1.1e-05)
204.258 .... 588 packets received, 5912 bps, 73.90%, Err 16 (1.1e-05)
206.383 .... 596 packets received, 5931 bps, 74.13%, Err 16 (1.1e-05)
208.515 .... 604 packets received, 5949 bps, 74.36%, Err 16 (1.0e-05)
210.641 .... 612 packets received, 5966 bps, 74.58%, Err 16 (1.0e-05)
214.522 .... 617 packets received, 5906 bps, 73.83%, Err 16 (1.0e-05)
218.096 .... 621 packets received, 5847 bps, 73.08%, Err 17 (1.1e-05)
220.274 .... 629 packets received, 5863 bps, 73.29%, Err 17 (1.0e-05)
222.362 .... 635 packets received, 5863 bps, 73.29%, Err 17 (1.0e-05)
224.495 .... 643 packets received, 5881 bps, 73.51%, Err 17 (1.0e-05)
226.616 .... 651 packets received, 5898 bps, 73.73%, Err 17 (1.0e-05)
