000.000 =============================================================
000.000                     Station A                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "fA.log", TCP port 30014, debug mask 0x00
000.000 Station A is waiting for station B on TCP port 30014 ... Done.
000.339 New epoch: Mon May  6 20:18:32 2019
000.339 =================================================================
000.339 
000.339 Designed by CJSoft, build: May  6 2019  20:16:40
001.634 ** WARNING: System too busy, sleep 15 ms, but be awakened 73 ms later
003.494 .... 1 packets received, 712 bps, 8.90%, Err 1 (5.1e-05)
003.804 ** WARNING: System too busy, sleep 15 ms, but be awakened 86 ms later
005.561 .... 9 packets received, 3730 bps, 46.62%, Err 1 (2.8e-05)
007.682 .... 14 packets received, 4059 bps, 50.74%, Err 1 (2.1e-05)
009.792 .... 22 packets received, 4912 bps, 61.40%, Err 1 (1.6e-05)
014.217 .... 29 packets received, 4368 bps, 54.60%, Err 1 (1.1e-05)
016.347 .... 37 packets received, 4818 bps, 60.23%, Err 1 (9.0e-06)
018.450 .... 45 packets received, 5169 bps, 64.61%, Err 1 (7.8e-06)
020.566 .... 53 packets received, 5442 bps, 68.02%, Err 1 (6.9e-06)
022.689 .... 61 packets received, 5661 bps, 70.76%, Err 1 (6.2e-06)
024.802 .... 69 packets received, 5843 bps, 73.04%, Err 1 (5.6e-06)
026.923 .... 77 packets received, 5995 bps, 74.94%, Err 1 (5.1e-06)
029.067 .... 85 packets received, 6119 bps, 76.49%, Err 1 (4.7e-06)
032.687 .... 89 packets received, 5684 bps, 71.05%, Err 1 (4.2e-06)
034.789 .... 97 packets received, 5814 bps, 72.67%, Err 1 (4.0e-06)
036.914 .... 105 packets received, 5925 bps, 74.06%, Err 2 (7.4e-06)
039.041 .... 113 packets received, 6023 bps, 75.29%, Err 2 (7.0e-06)
043.827 .... 119 packets received, 5640 bps, 70.51%, Err 3 (9.5e-06)
045.977 .... 127 packets received, 5734 bps, 71.68%, Err 3 (9.0e-06)
048.091 .... 135 packets received, 5824 bps, 72.80%, Err 3 (8.6e-06)
050.201 .... 143 packets received, 5907 bps, 73.83%, Err 3 (8.2e-06)
052.339 .... 151 packets received, 5979 bps, 74.74%, Err 3 (7.8e-06)
054.436 .... 159 packets received, 6051 bps, 75.64%, Err 3 (7.5e-06)
056.585 .... 167 packets received, 6111 bps, 76.39%, Err 3 (7.2e-06)
058.688 .... 175 packets received, 6172 bps, 77.15%, Err 3 (6.9e-06)
060.822 .... 183 packets received, 6225 bps, 77.82%, Err 4 (8.9e-06)
062.918 .... 191 packets received, 6279 bps, 78.49%, Err 4 (8.6e-06)
065.041 .... 199 packets received, 6326 bps, 79.08%, Err 4 (8.3e-06)
067.160 .... 207 packets received, 6371 bps, 79.64%, Err 4 (8.0e-06)
071.051 .... 212 packets received, 6164 bps, 77.06%, Err 4 (7.6e-06)
073.180 .... 220 packets received, 6209 bps, 77.62%, Err 4 (7.3e-06)
076.500 .... 223 packets received, 6019 bps, 75.23%, Err 5 (8.8e-06)
080.066 .... 225 packets received, 5800 bps, 72.50%, Err 6 (1.0e-05)
082.221 .... 233 packets received, 5848 bps, 73.10%, Err 6 (1.0e-05)
084.327 .... 241 packets received, 5896 bps, 73.70%, Err 6 (9.7e-06)
086.454 .... 249 packets received, 5941 bps, 74.26%, Err 6 (9.4e-06)
088.564 .... 257 packets received, 5985 bps, 74.81%, Err 6 (9.2e-06)
090.688 .... 265 packets received, 6026 bps, 75.32%, Err 6 (9.0e-06)
092.812 .... 273 packets received, 6064 bps, 75.81%, Err 6 (8.7e-06)
094.940 .... 281 packets received, 6101 bps, 76.27%, Err 6 (8.5e-06)
098.797 .... 286 packets received, 5966 bps, 74.57%, Err 8 (1.1e-05)
100.940 .... 294 packets received, 6002 bps, 75.02%, Err 8 (1.1e-05)
103.045 .... 299 packets received, 5978 bps, 74.73%, Err 8 (1.1e-05)
105.167 .... 307 packets received, 6014 bps, 75.17%, Err 8 (1.0e-05)
107.296 .... 315 packets received, 6047 bps, 75.59%, Err 8 (1.0e-05)
109.403 .... 323 packets received, 6081 bps, 76.01%, Err 8 (9.9e-06)
111.528 .... 331 packets received, 6112 bps, 76.40%, Err 8 (9.7e-06)
113.660 .... 339 packets received, 6142 bps, 76.77%, Err 8 (9.5e-06)
117.812 .... 345 packets received, 6029 bps, 75.36%, Err 9 (1.0e-05)
119.915 .... 353 packets received, 6060 bps, 75.75%, Err 9 (1.0e-05)
122.044 .... 361 packets received, 6089 bps, 76.11%, Err 9 (1.0e-05)
124.158 .... 369 packets received, 6117 bps, 76.46%, Err 9 (9.8e-06)
126.275 .... 377 packets received, 6145 bps, 76.81%, Err 9 (9.6e-06)
128.415 .... 385 packets received, 6170 bps, 77.12%, Err 9 (9.4e-06)
130.518 .... 393 packets received, 6196 bps, 77.45%, Err 9 (9.3e-06)
132.633 .... 401 packets received, 6221 bps, 77.76%, Err 9 (9.1e-06)
134.777 .... 409 packets received, 6244 bps, 78.05%, Err 9 (9.0e-06)
136.883 .... 417 packets received, 6267 bps, 78.34%, Err 9 (8.8e-06)
