000.000 =============================================================
000.000                     Station B                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "fB.log", TCP port 30014, debug mask 0x00
000.000 Station B is connecting station A (TCP port 30014) ... Done.
000.339 New epoch: Mon May  6 20:18:32 2019
000.339 =================================================================
000.339 
000.339 Designed by CJSoft, build: May  6 2019  20:16:40
001.634 ** WARNING: System too busy, sleep 15 ms, but be awakened 73 ms later
002.747 .... 8 packets received, 7642 bps, 95.52%, Err 1 (5.3e-05)
003.805 ** WARNING: System too busy, sleep 15 ms, but be awakened 87 ms later
007.416 .... 16 packets received, 4810 bps, 60.12%, Err 2 (3.9e-05)
010.230 .... 17 packets received, 3616 bps, 45.21%, Err 2 (2.9e-05)
012.369 .... 25 packets received, 4352 bps, 54.39%, Err 2 (2.3e-05)
014.472 .... 30 packets received, 4430 bps, 55.38%, Err 2 (2.1e-05)
016.598 .... 38 packets received, 4866 bps, 60.82%, Err 2 (1.8e-05)
018.734 .... 46 packets received, 5196 bps, 64.95%, Err 2 (1.5e-05)
020.842 .... 54 packets received, 5464 bps, 68.30%, Err 2 (1.4e-05)
022.967 .... 62 packets received, 5678 bps, 70.97%, Err 2 (1.2e-05)
025.080 .... 70 packets received, 5857 bps, 73.21%, Err 2 (1.1e-05)
028.677 .... 74 packets received, 5398 bps, 67.48%, Err 4 (2.0e-05)
030.827 .... 82 packets received, 5556 bps, 69.45%, Err 4 (1.8e-05)
032.919 .... 87 packets received, 5514 bps, 68.92%, Err 4 (1.7e-05)
035.043 .... 95 packets received, 5649 bps, 70.62%, Err 4 (1.6e-05)
038.901 .... 100 packets received, 5348 bps, 66.84%, Err 6 (2.2e-05)
041.044 .... 108 packets received, 5469 bps, 68.37%, Err 6 (2.1e-05)
043.166 .... 116 packets received, 5582 bps, 69.77%, Err 6 (1.9e-05)
045.947 .... 124 packets received, 5601 bps, 70.01%, Err 6 (1.8e-05)
048.092 .... 132 packets received, 5693 bps, 71.16%, Err 6 (1.8e-05)
050.197 .... 140 packets received, 5781 bps, 72.27%, Err 6 (1.7e-05)
052.310 .... 148 packets received, 5862 bps, 73.27%, Err 6 (1.6e-05)
