000.000 =============================================================
000.000                     Station A                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-04
000.000 Log file "fbA.log", TCP port 30015, debug mask 0x00
000.000 Station A is waiting for station B on TCP port 30015 ... Done.
000.351 New epoch: Mon May  6 20:18:32 2019
000.351 =================================================================
000.351 
000.351 Designed by CJSoft, build: May  6 2019  20:16:40
001.630 ** WARNING: System too busy, sleep 15 ms, but be awakened 76 ms later
003.477 .... 1 packets received, 720 bps, 9.00%, Err 2 (1.1e-04)
003.805 ** WARNING: System too busy, sleep 15 ms, but be awakened 87 ms later
007.825 .... 6 packets received, 1708 bps, 21.35%, Err 5 (1.1e-04)
012.219 .... 10 packets received, 1767 bps, 22.09%, Err 8 (1.2e-04)
015.774 .... 14 packets received, 1893 bps, 23.67%, Err 10 (1.1e-04)
019.378 .... 18 packets received, 1966 bps, 24.58%, Err 12 (1.0e-04)
022.943 .... 20 packets received, 1836 bps, 22.95%, Err 14 (1.0e-04)
027.397 .... 27 packets received, 2066 bps, 25.82%, Err 16 (9.8e-05)
034.904 .... 34 packets received, 2032 bps, 25.40%, Err 24 (1.2e-04)
037.931 .... 35 packets received, 1922 bps, 24.02%, Err 24 (1.1e-04)
042.343 .... 41 packets received, 2013 bps, 25.16%, Err 26 (1.0e-04)
046.741 .... 47 packets received, 2088 bps, 26.09%, Err 31 (1.1e-04)
049.771 .... 48 packets received, 2000 bps, 25.01%, Err 31 (1.0e-04)
053.347 .... 50 packets received, 1942 bps, 24.28%, Err 34 (1.1e-04)
055.454 .... 58 packets received, 2167 bps, 27.08%, Err 34 (1.0e-04)
057.600 .... 63 packets received, 2265 bps, 28.31%, Err 34 (9.9e-05)
059.709 .... 71 packets received, 2461 bps, 30.77%, Err 35 (9.7e-05)
062.787 .... 73 packets received, 2405 bps, 30.07%, Err 38 (1.0e-04)
066.350 .... 75 packets received, 2337 bps, 29.22%, Err 41 (1.0e-04)
070.738 .... 80 packets received, 2337 bps, 29.21%, Err 43 (1.0e-04)
075.146 .... 85 packets received, 2336 bps, 29.20%, Err 46 (1.0e-04)
080.148 .... 90 packets received, 2318 bps, 28.97%, Err 47 (9.9e-05)
084.232 .... 93 packets received, 2278 bps, 28.48%, Err 50 (1.0e-04)
088.642 .... 97 packets received, 2257 bps, 28.21%, Err 52 (1.0e-04)
093.016 .... 103 packets received, 2283 bps, 28.54%, Err 55 (1.0e-04)
097.417 .... 107 packets received, 2264 bps, 28.30%, Err 58 (1.0e-04)
101.523 .... 110 packets received, 2233 bps, 27.91%, Err 60 (1.0e-04)
105.919 .... 115 packets received, 2237 bps, 27.96%, Err 62 (1.0e-04)
109.484 .... 117 packets received, 2201 bps, 27.52%, Err 64 (1.0e-04)
111.608 .... 125 packets received, 2307 bps, 28.84%, Err 64 (9.8e-05)
115.173 .... 129 packets received, 2307 bps, 28.83%, Err 66 (9.7e-05)
122.409 .... 137 packets received, 2304 bps, 28.80%, Err 71 (9.8e-05)
129.300 .... 142 packets received, 2260 bps, 28.25%, Err 76 (9.9e-05)
133.402 .... 145 packets received, 2237 bps, 27.96%, Err 77 (9.8e-05)
137.802 .... 149 packets received, 2225 bps, 27.81%, Err 79 (9.7e-05)
141.894 .... 152 packets received, 2204 bps, 27.55%, Err 83 (1.0e-04)
147.978 .... 154 packets received, 2140 bps, 26.76%, Err 87 (1.0e-04)
151.533 .... 156 packets received, 2117 bps, 26.46%, Err 89 (1.0e-04)
155.635 .... 159 packets received, 2101 bps, 26.26%, Err 91 (1.0e-04)
159.745 .... 162 packets received, 2085 bps, 26.06%, Err 93 (1.0e-04)
162.767 .... 163 packets received, 2059 bps, 25.74%, Err 93 (9.8e-05)
166.872 .... 166 packets received, 2045 bps, 25.56%, Err 94 (9.7e-05)
173.784 .... 173 packets received, 2046 bps, 25.58%, Err 104 (1.0e-04)
176.806 .... 174 packets received, 2023 bps, 25.28%, Err 105 (1.0e-04)
181.191 .... 179 packets received, 2030 bps, 25.38%, Err 109 (1.0e-04)
183.291 .... 186 packets received, 2085 bps, 26.07%, Err 109 (1.0e-04)
187.954 .... 194 packets received, 2121 bps, 26.51%, Err 112 (1.0e-04)
192.024 .... 197 packets received, 2108 bps, 26.35%, Err 116 (1.0e-04)
196.438 .... 203 packets received, 2123 bps, 26.54%, Err 119 (1.0e-04)
199.992 .... 205 packets received, 2106 bps, 26.32%, Err 120 (1.0e-04)
206.084 .... 207 packets received, 2063 bps, 25.79%, Err 125 (1.0e-04)
210.754 .... 215 packets received, 2096 bps, 26.19%, Err 127 (1.0e-04)
215.157 .... 220 packets received, 2100 bps, 26.25%, Err 130 (1.0e-04)
217.288 .... 228 packets received, 2155 bps, 26.94%, Err 130 (1.0e-04)
220.622 .... 231 packets received, 2150 bps, 26.88%, Err 131 (1.0e-04)
228.324 .... 238 packets received, 2141 bps, 26.76%, Err 136 (1.0e-04)
232.693 .... 245 packets received, 2162 bps, 27.03%, Err 137 (1.0e-04)
236.294 .... 249 packets received, 2164 bps, 27.05%, Err 141 (1.0e-04)
241.986 .... 250 packets received, 2121 bps, 26.52%, Err 147 (1.0e-04)
245.908 .... 253 packets received, 2112 bps, 26.41%, Err 149 (1.0e-04)
250.010 .... 256 packets received, 2102 bps, 26.28%, Err 153 (1.0e-04)
254.440 .... 261 packets received, 2106 bps, 26.33%, Err 155 (1.0e-04)
257.493 .... 262 packets received, 2089 bps, 26.11%, Err 155 (1.0e-04)
259.618 .... 270 packets received, 2135 bps, 26.69%, Err 156 (1.0e-04)
262.239 ** WARNING: System too busy, sleep 15 ms, but be awakened 79 ms later
263.476 .... 275 packets received, 2143 bps, 26.78%, Err 157 (1.0e-04)
267.917 .... 282 packets received, 2161 bps, 27.01%, Err 159 (1.0e-04)
271.924 .... 285 packets received, 2151 bps, 26.89%, Err 160 (9.9e-05)
275.987 .... 288 packets received, 2142 bps, 26.78%, Err 164 (1.0e-04)
280.371 .... 294 packets received, 2152 bps, 26.90%, Err 166 (1.0e-04)
284.783 .... 298 packets received, 2148 bps, 26.85%, Err 167 (9.9e-05)
291.390 .... 301 packets received, 2120 bps, 26.50%, Err 174 (1.0e-04)
293.516 .... 309 packets received, 2161 bps, 27.01%, Err 174 (1.0e-04)
298.322 .... 315 packets received, 2167 bps, 27.09%, Err 178 (1.0e-04)
305.472 .... 321 packets received, 2157 bps, 26.96%, Err 183 (1.0e-04)
308.498 .... 322 packets received, 2142 bps, 26.78%, Err 187 (1.0e-04)
315.697 .... 330 packets received, 2145 bps, 26.81%, Err 199 (1.1e-04)
318.726 .... 331 packets received, 2131 bps, 26.64%, Err 199 (1.1e-04)
330.639 .... 335 packets received, 2079 bps, 25.99%, Err 211 (1.1e-04)
337.230 .... 338 packets received, 2057 bps, 25.71%, Err 218 (1.1e-04)
338.953 ** WARNING: System too busy, sleep 15 ms, but be awakened 115 ms later
339.388 .... 345 packets received, 2086 bps, 26.07%, Err 219 (1.1e-04)
342.220 .... 347 packets received, 2080 bps, 26.01%, Err 221 (1.1e-04)
346.878 .... 355 packets received, 2100 bps, 26.25%, Err 223 (1.1e-04)
349.033 .... 363 packets received, 2134 bps, 26.67%, Err 223 (1.1e-04)
