000.000 =============================================================
000.000                     Station B                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-04
000.000 Log file "fbB.log", TCP port 30015, debug mask 0x00
000.000 Station B is connecting station A (TCP port 30015) ... Done.
000.351 New epoch: Mon May  6 20:18:32 2019
000.351 =================================================================
000.351 
000.351 Designed by CJSoft, build: May  6 2019  20:16:40
001.634 ** WARNING: System too busy, sleep 15 ms, but be awakened 73 ms later
002.626 .... 7 packets received, 7129 bps, 89.11%, Err 2 (1.1e-04)
003.804 ** WARNING: System too busy, sleep 15 ms, but be awakened 86 ms later
006.066 .... 11 packets received, 4133 bps, 51.66%, Err 5 (1.2e-04)
009.612 .... 12 packets received, 2732 bps, 34.14%, Err 8 (1.4e-04)
012.663 .... 13 packets received, 2210 bps, 27.62%, Err 10 (1.3e-04)
015.709 .... 14 packets received, 1900 bps, 23.74%, Err 10 (1.1e-04)
020.105 .... 21 packets received, 2207 bps, 27.58%, Err 12 (9.9e-05)
023.656 .... 23 packets received, 2044 bps, 25.55%, Err 15 (1.1e-04)
027.763 .... 26 packets received, 1961 bps, 24.52%, Err 17 (1.1e-04)
031.297 .... 28 packets received, 1869 bps, 23.36%, Err 19 (1.0e-04)
035.685 .... 33 packets received, 1927 bps, 24.09%, Err 22 (1.1e-04)
037.819 .... 41 packets received, 2257 bps, 28.21%, Err 24 (1.1e-04)
040.607 .... 42 packets received, 2151 bps, 26.89%, Err 24 (1.0e-04)
044.714 .... 45 packets received, 2090 bps, 26.12%, Err 27 (1.0e-04)
047.765 .... 46 packets received, 1998 bps, 24.98%, Err 29 (1.0e-04)
052.136 .... 50 packets received, 1988 bps, 24.84%, Err 35 (1.2e-04)
055.154 .... 51 packets received, 1915 bps, 23.94%, Err 36 (1.1e-04)
059.268 .... 54 packets received, 1886 bps, 23.57%, Err 37 (1.1e-04)
063.667 .... 60 packets received, 1949 bps, 24.36%, Err 38 (1.0e-04)
068.062 .... 64 packets received, 1943 bps, 24.29%, Err 42 (1.1e-04)
072.465 .... 68 packets received, 1938 bps, 24.23%, Err 46 (1.1e-04)
075.496 .... 69 packets received, 1887 bps, 23.59%, Err 47 (1.1e-04)
077.647 .... 77 packets received, 2047 bps, 25.59%, Err 47 (1.0e-04)
081.770 .... 83 packets received, 2095 bps, 26.18%, Err 50 (1.0e-04)
086.167 .... 90 packets received, 2154 bps, 26.93%, Err 52 (1.0e-04)
088.278 .... 98 packets received, 2289 bps, 28.62%, Err 53 (1.0e-04)
093.595 .... 99 packets received, 2181 bps, 27.26%, Err 56 (1.0e-04)
095.735 .... 107 packets received, 2304 bps, 28.80%, Err 56 (9.8e-05)
099.865 .... 113 packets received, 2332 bps, 29.15%, Err 59 (9.8e-05)
103.441 .... 115 packets received, 2290 bps, 28.63%, Err 63 (1.0e-04)
105.559 .... 123 packets received, 2400 bps, 30.00%, Err 64 (1.0e-04)
108.357 .... 124 packets received, 2357 bps, 29.46%, Err 66 (1.0e-04)
111.911 .... 126 packets received, 2319 bps, 28.98%, Err 70 (1.0e-04)
114.954 .... 127 packets received, 2275 bps, 28.43%, Err 73 (1.1e-04)
119.845 .... 133 packets received, 2285 bps, 28.56%, Err 74 (1.0e-04)
122.050 .... 140 packets received, 2361 bps, 29.51%, Err 74 (1.0e-04)
125.124 .... 142 packets received, 2336 bps, 29.20%, Err 76 (1.0e-04)
127.261 .... 150 packets received, 2426 bps, 30.32%, Err 79 (1.0e-04)
129.468 .... 156 packets received, 2479 bps, 30.99%, Err 80 (1.0e-04)
132.526 .... 158 packets received, 2453 bps, 30.66%, Err 81 (1.0e-04)
136.090 .... 160 packets received, 2419 bps, 30.23%, Err 82 (1.0e-04)
139.672 .... 162 packets received, 2386 bps, 29.82%, Err 84 (1.0e-04)
146.258 .... 165 packets received, 2320 bps, 29.00%, Err 90 (1.0e-04)
150.668 .... 172 packets received, 2348 bps, 29.34%, Err 91 (1.0e-04)
155.061 .... 178 packets received, 2360 bps, 29.50%, Err 93 (1.0e-04)
161.964 .... 185 packets received, 2348 bps, 29.35%, Err 100 (1.0e-04)
