000.000 =============================================================
000.000                     Station A                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 0
000.000 Log file "uA.log", TCP port 30012, debug mask 0x00
000.000 Station A is waiting for station B on TCP port 30012 ... Done.
000.317 New epoch: Mon May  6 20:18:32 2019
000.317 =================================================================
000.317 
000.317 Designed by CJSoft, build: May  6 2019  20:16:40
001.634 ** WARNING: System too busy, sleep 15 ms, but be awakened 73 ms later
003.514 .... 8 packets received, 7424 bps, 92.80%, Err 0 (0.0e+00)
003.806 ** WARNING: System too busy, sleep 15 ms, but be awakened 89 ms later
005.565 .... 16 packets received, 7696 bps, 96.20%, Err 0 (0.0e+00)
007.698 .... 24 packets received, 7691 bps, 96.14%, Err 0 (0.0e+00)
009.850 .... 32 packets received, 7671 bps, 95.89%, Err 0 (0.0e+00)
011.939 .... 40 packets received, 7705 bps, 96.31%, Err 0 (0.0e+00)
014.059 .... 48 packets received, 7709 bps, 96.36%, Err 0 (0.0e+00)
016.183 .... 56 packets received, 7710 bps, 96.37%, Err 0 (0.0e+00)
018.288 .... 64 packets received, 7719 bps, 96.48%, Err 0 (0.0e+00)
020.412 .... 72 packets received, 7718 bps, 96.48%, Err 0 (0.0e+00)
022.546 .... 80 packets received, 7714 bps, 96.43%, Err 0 (0.0e+00)
024.647 .... 88 packets received, 7722 bps, 96.52%, Err 0 (0.0e+00)
026.784 .... 96 packets received, 7717 bps, 96.46%, Err 0 (0.0e+00)
028.912 .... 104 packets received, 7716 bps, 96.45%, Err 0 (0.0e+00)
031.020 .... 112 packets received, 7720 bps, 96.50%, Err 0 (0.0e+00)
033.141 .... 120 packets received, 7720 bps, 96.50%, Err 0 (0.0e+00)
035.276 .... 128 packets received, 7717 bps, 96.46%, Err 0 (0.0e+00)
037.387 .... 136 packets received, 7720 bps, 96.50%, Err 0 (0.0e+00)
039.500 .... 144 packets received, 7722 bps, 96.52%, Err 0 (0.0e+00)
041.624 .... 152 packets received, 7721 bps, 96.52%, Err 0 (0.0e+00)
043.737 .... 160 packets received, 7723 bps, 96.54%, Err 0 (0.0e+00)
045.867 .... 168 packets received, 7721 bps, 96.52%, Err 0 (0.0e+00)
047.996 .... 176 packets received, 7720 bps, 96.50%, Err 0 (0.0e+00)
050.121 .... 184 packets received, 7720 bps, 96.50%, Err 0 (0.0e+00)
052.236 .... 192 packets received, 7721 bps, 96.51%, Err 0 (0.0e+00)
054.355 .... 200 packets received, 7721 bps, 96.52%, Err 0 (0.0e+00)
056.473 .... 208 packets received, 7722 bps, 96.52%, Err 0 (0.0e+00)
058.594 .... 216 packets received, 7722 bps, 96.52%, Err 0 (0.0e+00)
060.712 .... 224 packets received, 7722 bps, 96.53%, Err 0 (0.0e+00)
062.840 .... 232 packets received, 7722 bps, 96.52%, Err 0 (0.0e+00)
064.947 .... 240 packets received, 7723 bps, 96.54%, Err 0 (0.0e+00)
067.062 .... 248 packets received, 7724 bps, 96.55%, Err 0 (0.0e+00)
069.174 .... 256 packets received, 7725 bps, 96.57%, Err 0 (0.0e+00)
071.309 .... 264 packets received, 7724 bps, 96.55%, Err 0 (0.0e+00)
073.430 .... 272 packets received, 7724 bps, 96.55%, Err 0 (0.0e+00)
075.558 .... 280 packets received, 7723 bps, 96.54%, Err 0 (0.0e+00)
077.663 .... 288 packets received, 7725 bps, 96.56%, Err 0 (0.0e+00)
079.784 .... 296 packets received, 7725 bps, 96.56%, Err 0 (0.0e+00)
081.906 .... 304 packets received, 7725 bps, 96.56%, Err 0 (0.0e+00)
084.013 .... 312 packets received, 7726 bps, 96.57%, Err 0 (0.0e+00)
086.140 .... 320 packets received, 7725 bps, 96.57%, Err 0 (0.0e+00)
088.261 .... 328 packets received, 7725 bps, 96.57%, Err 0 (0.0e+00)
090.392 .... 336 packets received, 7724 bps, 96.55%, Err 0 (0.0e+00)
092.504 .... 344 packets received, 7725 bps, 96.56%, Err 0 (0.0e+00)
094.629 .... 352 packets received, 7725 bps, 96.56%, Err 0 (0.0e+00)
096.748 .... 360 packets received, 7725 bps, 96.56%, Err 0 (0.0e+00)
