000.000 =============================================================
000.000                     Station A                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 0
000.000 Log file "ufA.log", TCP port 30013, debug mask 0x00
000.000 Station A is waiting for station B on TCP port 30013 ... Done.
000.327 New epoch: Mon May  6 20:18:32 2019
000.327 =================================================================
000.327 
000.327 Designed by CJSoft, build: May  6 2019  20:16:40
001.634 ** WARNING: System too busy, sleep 15 ms, but be awakened 73 ms later
002.773 .... 8 packets received, 7564 bps, 94.55%, Err 0 (0.0e+00)
003.805 ** WARNING: System too busy, sleep 15 ms, but be awakened 87 ms later
004.856 .... 16 packets received, 7712 bps, 96.40%, Err 0 (0.0e+00)
006.979 .... 24 packets received, 7714 bps, 96.42%, Err 0 (0.0e+00)
009.080 .... 32 packets received, 7735 bps, 96.68%, Err 0 (0.0e+00)
011.211 .... 40 packets received, 7725 bps, 96.57%, Err 0 (0.0e+00)
013.335 .... 48 packets received, 7723 bps, 96.54%, Err 0 (0.0e+00)
015.445 .... 56 packets received, 7729 bps, 96.62%, Err 0 (0.0e+00)
017.563 .... 64 packets received, 7730 bps, 96.63%, Err 0 (0.0e+00)
019.690 .... 72 packets received, 7727 bps, 96.59%, Err 0 (0.0e+00)
021.817 .... 80 packets received, 7725 bps, 96.56%, Err 0 (0.0e+00)
023.922 .... 88 packets received, 7730 bps, 96.62%, Err 0 (0.0e+00)
026.060 .... 96 packets received, 7724 bps, 96.55%, Err 0 (0.0e+00)
028.156 .... 104 packets received, 7731 bps, 96.64%, Err 0 (0.0e+00)
030.275 .... 112 packets received, 7731 bps, 96.64%, Err 0 (0.0e+00)
032.403 .... 120 packets received, 7729 bps, 96.62%, Err 0 (0.0e+00)
034.525 .... 128 packets received, 7729 bps, 96.61%, Err 0 (0.0e+00)
036.656 .... 136 packets received, 7726 bps, 96.58%, Err 0 (0.0e+00)
038.764 .... 144 packets received, 7729 bps, 96.61%, Err 0 (0.0e+00)
040.900 .... 152 packets received, 7726 bps, 96.57%, Err 0 (0.0e+00)
043.022 .... 160 packets received, 7726 bps, 96.57%, Err 0 (0.0e+00)
045.126 .... 168 packets received, 7728 bps, 96.61%, Err 0 (0.0e+00)
047.242 .... 176 packets received, 7729 bps, 96.61%, Err 0 (0.0e+00)
