000.000 =============================================================
000.000                     Station B                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 0
000.000 Log file "ufB.log", TCP port 30013, debug mask 0x00
000.000 Station B is connecting station A (TCP port 30013) ... Done.
000.327 New epoch: Mon May  6 20:18:32 2019
000.327 =================================================================
000.327 
000.327 Designed by CJSoft, build: May  6 2019  20:16:40
001.631 ** WARNING: System too busy, sleep 15 ms, but be awakened 75 ms later
002.625 .... 7 packets received, 7059 bps, 88.23%, Err 0 (0.0e+00)
003.807 ** WARNING: System too busy, sleep 15 ms, but be awakened 90 ms later
004.850 .... 16 packets received, 7699 bps, 96.24%, Err 0 (0.0e+00)
006.978 .... 24 packets received, 7699 bps, 96.24%, Err 0 (0.0e+00)
009.111 .... 32 packets received, 7695 bps, 96.18%, Err 0 (0.0e+00)
011.220 .... 40 packets received, 7709 bps, 96.37%, Err 0 (0.0e+00)
013.345 .... 48 packets received, 7710 bps, 96.37%, Err 0 (0.0e+00)
015.476 .... 56 packets received, 7706 bps, 96.33%, Err 0 (0.0e+00)
017.595 .... 64 packets received, 7710 bps, 96.38%, Err 0 (0.0e+00)
019.695 .... 72 packets received, 7720 bps, 96.50%, Err 0 (0.0e+00)
021.821 .... 80 packets received, 7718 bps, 96.48%, Err 0 (0.0e+00)
023.938 .... 88 packets received, 7720 bps, 96.50%, Err 0 (0.0e+00)
026.076 .... 96 packets received, 7716 bps, 96.44%, Err 0 (0.0e+00)
028.173 .... 104 packets received, 7723 bps, 96.54%, Err 0 (0.0e+00)
030.306 .... 112 packets received, 7720 bps, 96.50%, Err 0 (0.0e+00)
032.417 .... 120 packets received, 7723 bps, 96.53%, Err 0 (0.0e+00)
034.552 .... 128 packets received, 7720 bps, 96.50%, Err 0 (0.0e+00)
036.658 .... 136 packets received, 7723 bps, 96.54%, Err 0 (0.0e+00)
038.792 .... 144 packets received, 7721 bps, 96.51%, Err 0 (0.0e+00)
040.884 .... 152 packets received, 7726 bps, 96.58%, Err 0 (0.0e+00)
043.022 .... 160 packets received, 7723 bps, 96.54%, Err 0 (0.0e+00)
045.147 .... 168 packets received, 7723 bps, 96.53%, Err 0 (0.0e+00)
047.257 .... 176 packets received, 7724 bps, 96.56%, Err 0 (0.0e+00)
049.380 .... 184 packets received, 7724 bps, 96.55%, Err 0 (0.0e+00)
051.498 .... 192 packets received, 7725 bps, 96.56%, Err 0 (0.0e+00)
053.631 .... 200 packets received, 7723 bps, 96.54%, Err 0 (0.0e+00)
055.750 .... 208 packets received, 7723 bps, 96.54%, Err 0 (0.0e+00)
057.867 .... 216 packets received, 7724 bps, 96.55%, Err 0 (0.0e+00)
059.990 .... 224 packets received, 7724 bps, 96.55%, Err 0 (0.0e+00)
062.098 .... 232 packets received, 7725 bps, 96.57%, Err 0 (0.0e+00)
064.220 .... 240 packets received, 7725 bps, 96.56%, Err 0 (0.0e+00)
066.341 .... 248 packets received, 7725 bps, 96.56%, Err 0 (0.0e+00)
068.451 .... 256 packets received, 7726 bps, 96.58%, Err 0 (0.0e+00)
070.583 .... 264 packets received, 7725 bps, 96.56%, Err 0 (0.0e+00)
072.704 .... 272 packets received, 7725 bps, 96.56%, Err 0 (0.0e+00)
074.836 .... 280 packets received, 7724 bps, 96.55%, Err 0 (0.0e+00)
076.945 .... 288 packets received, 7725 bps, 96.56%, Err 0 (0.0e+00)
079.055 .... 296 packets received, 7726 bps, 96.58%, Err 0 (0.0e+00)
081.173 .... 304 packets received, 7726 bps, 96.58%, Err 0 (0.0e+00)
083.299 .... 312 packets received, 7726 bps, 96.57%, Err 0 (0.0e+00)
085.420 .... 320 packets received, 7726 bps, 96.57%, Err 0 (0.0e+00)
087.543 .... 328 packets received, 7726 bps, 96.57%, Err 0 (0.0e+00)
089.663 .... 336 packets received, 7726 bps, 96.57%, Err 0 (0.0e+00)
091.774 .... 344 packets received, 7727 bps, 96.58%, Err 0 (0.0e+00)
093.911 .... 352 packets received, 7725 bps, 96.57%, Err 0 (0.0e+00)
096.019 .... 360 packets received, 7726 bps, 96.58%, Err 0 (0.0e+00)
098.126 .... 368 packets received, 7727 bps, 96.59%, Err 0 (0.0e+00)
100.262 .... 376 packets received, 7726 bps, 96.58%, Err 0 (0.0e+00)
102.371 .... 384 packets received, 7727 bps, 96.59%, Err 0 (0.0e+00)
104.496 .... 392 packets received, 7727 bps, 96.58%, Err 0 (0.0e+00)
106.626 .... 400 packets received, 7726 bps, 96.57%, Err 0 (0.0e+00)
108.732 .... 408 packets received, 7727 bps, 96.59%, Err 0 (0.0e+00)
110.872 .... 416 packets received, 7726 bps, 96.57%, Err 0 (0.0e+00)
112.975 .... 424 packets received, 7727 bps, 96.59%, Err 0 (0.0e+00)
115.107 .... 432 packets received, 7726 bps, 96.58%, Err 0 (0.0e+00)
117.213 .... 440 packets received, 7727 bps, 96.59%, Err 0 (0.0e+00)
119.342 .... 448 packets received, 7726 bps, 96.58%, Err 0 (0.0e+00)
121.445 .... 456 packets received, 7728 bps, 96.59%, Err 0 (0.0e+00)
123.579 .... 464 packets received, 7727 bps, 96.58%, Err 0 (0.0e+00)
125.696 .... 472 packets received, 7727 bps, 96.59%, Err 0 (0.0e+00)
127.808 .... 480 packets received, 7727 bps, 96.59%, Err 0 (0.0e+00)
129.954 .... 488 packets received, 7726 bps, 96.57%, Err 0 (0.0e+00)
132.067 .... 496 packets received, 7726 bps, 96.58%, Err 0 (0.0e+00)
134.166 .... 504 packets received, 7728 bps, 96.60%, Err 0 (0.0e+00)
136.301 .... 512 packets received, 7727 bps, 96.58%, Err 0 (0.0e+00)
138.428 .... 520 packets received, 7726 bps, 96.58%, Err 0 (0.0e+00)
140.553 .... 528 packets received, 7726 bps, 96.58%, Err 0 (0.0e+00)
142.661 .... 536 packets received, 7727 bps, 96.59%, Err 0 (0.0e+00)
144.776 .... 544 packets received, 7727 bps, 96.59%, Err 0 (0.0e+00)
146.892 .... 552 packets received, 7727 bps, 96.59%, Err 0 (0.0e+00)
149.023 .... 560 packets received, 7727 bps, 96.58%, Err 0 (0.0e+00)
151.137 .... 568 packets received, 7727 bps, 96.59%, Err 0 (0.0e+00)
153.255 .... 576 packets received, 7727 bps, 96.59%, Err 0 (0.0e+00)
155.379 .... 584 packets received, 7727 bps, 96.59%, Err 0 (0.0e+00)
157.488 .... 592 packets received, 7728 bps, 96.60%, Err 0 (0.0e+00)
159.630 .... 600 packets received, 7727 bps, 96.58%, Err 0 (0.0e+00)
